time_sec,throughput_mbps,rtt_ms,jitter_ms,cwnd_bytes,retransmits,label,pacing_rate,delivery_rate,pacing_gain
0,14.217005100833928,34.044,0.0,23080,15,BBRV3 Flow,9954616bps,4928312bps,1.0
1,4.688200828961945,27.076,6.967999999999996,33304,31,BBRV3 Flow,15983576bps,5063376bps,1.0
2,8.349898835369311,26.681,0.3949999999999996,21720,28,BBRV3 Flow,3972136bps,4719968bps,1.0
3,4.16840589520464,11.145,15.536,21720,34,BBRV3 Flow,8477456bps,4725584bps,1.0
4,8.339296001231972,21.583,10.438,27512,43,BBRV3 Flow,5207320bps,4199376bps,1.0
5,8.340255302684497,11.294,10.288999999999998,13032,72,BBRV3 Flow,5362488bps,4781240bps,1.0
6,4.172551698677493,11.08,0.2140000000000004,7240,30,BBRV3 Flow,4754448bps,5015584bps,0.90625
7,4.167347708649664,7.71,3.37,5792,35,BBRV3 Flow,3682992bps,4616976bps,1.0
8,4.1699104279644805,8.792,1.082,5792,31,BBRV3 Flow,4625592bps,4818232bps,0.90625
9,4.169456171219109,17.932,9.14,8688,29,BBRV3 Flow,6487792bps,5113968bps,1.25
10,4.170515180357972,10.643,7.288999999999998,7240,32,BBRV3 Flow,11998104bps,4695032bps,1.25
11,4.169077037054693,13.953,3.3099999999999987,14480,9,BBRV3 Flow,17091624bps,4161512bps,1.0
12,0.0,12.384,1.568999999999999,10136,12,BBRV3 Flow,9400936bps,5650392bps,1.0
13,4.171441415355146,28.771,16.387,13032,6,BBRV3 Flow,50975304bps,40530064bps,1.25
14,4.172919020808525,35.335,6.564,70952,2,BBRV3 Flow,33529552bps,8498008bps,0.90625
15,4.169084986735681,56.275,20.94,68056,8,BBRV3 Flow,8776848bps,4806472bps,1.0
16,8.34425991052389,68.669,12.393999999999998,66608,18,BBRV3 Flow,18555800bps,2931440bps,1.0
17,4.1687685134829975,40.215,28.453999999999997,36200,16,BBRV3 Flow,5803384bps,5692376bps,1.0
18,8.344301707625473,12.918,27.297000000000004,36200,9,BBRV3 Flow,5246288bps,2214344bps,1.0
19,4.167689288748689,38.213,25.295,28960,19,BBRV3 Flow,4871696bps,5305064bps,1.0
20,8.342615725888175,18.914,19.299,14480,47,BBRV3 Flow,4972176bps,4261560bps,1.0
21,4.169297651955115,10.496,8.418000000000001,10136,39,BBRV3 Flow,5018664bps,4570704bps,1.0
22,4.17011920058182,5.998,4.498,5792,35,BBRV3 Flow,1928992bps,5076248bps,1.0
23,4.169326969656556,9.344,3.345999999999999,7240,34,BBRV3 Flow,4820432bps,3591192bps,1.0
24,8.346965643633032,8.026,1.3179999999999996,7240,39,BBRV3 Flow,4992000bps,4903280bps,1.0
