time_sec,throughput_mbps,rtt_ms,jitter_ms,cwnd_bytes,retransmits,label
0,10.0,214.603,0.0,198376,0,BBRv3 Flow
1,5.210892956378927,132.434,82.16900000000001,68056,0,BBRv3 Flow
2,0.0,141.01,8.575999999999993,30408,0,BBRv3 Flow
3,5.215778274576094,169.251,28.241000000000014,30408,0,BBRv3 Flow
4,0.0,221.01,51.758999999999986,5792,0,BBRv3 Flow
5,0.0,261.47,40.460000000000036,30408,0,BBRv3 Flow
6,0.0,299.364,37.89399999999995,30408,0,BBRv3 Flow
7,0.0,349.367,50.00300000000004,30408,0,BBRv3 Flow
8,0.0,184.982,164.38500000000002,37648,0,BBRv3 Flow
9,5.214129543959443,417.504,232.52200000000002,43440,0,BBRv3 Flow
10,0.0,523.552,106.048,146248,0,BBRv3 Flow
11,0.0,699.657,176.10500000000002,146248,0,BBRv3 Flow
12,0.0,869.121,169.46399999999994,152040,0,BBRv3 Flow
13,5.21553285802334,995.377,126.25599999999997,30408,0,BBRv3 Flow
14,0.0,1181.874,186.49700000000007,30408,0,BBRv3 Flow
15,0.0,1181.874,0.0,30408,0,BBRv3 Flow
16,0.0,1258.454,76.57999999999993,152040,0,BBRv3 Flow
17,0.0,1254.801,3.65300000000002,152040,0,BBRv3 Flow
18,5.738619323869172,1387.806,133.0050000000001,272224,0,BBRv3 Flow
19,0.0,1402.171,14.365000000000009,286704,0,BBRv3 Flow
20,10.0,1499.176,97.00499999999988,573408,0,BBRv3 Flow
21,0.0,1447.056,52.11999999999989,328696,0,BBRv3 Flow
22,0.0,1523.978,76.92200000000003,328696,0,BBRv3 Flow
23,10.0,1460.779,63.19900000000007,902104,0,BBRv3 Flow
24,0.0,1460.779,0.0,902104,0,BBRv3 Flow
25,10.0,1785.069,324.28999999999996,1335056,0,BBRv3 Flow
26,10.0,2121.562,336.49299999999994,1768008,0,BBRv3 Flow
27,0.0,2210.964,89.40200000000004,1979416,0,BBRv3 Flow
28,10.0,2200.645,10.31899999999996,479288,0,BBRv3 Flow
29,10.0,2038.331,162.31400000000008,479288,0,BBRv3 Flow
30,0.0,2037.826,0.5049999999998818,496664,0,BBRv3 Flow
31,0.0,1555.227,482.59899999999993,2054712,0,BBRv3 Flow
32,0.0,1586.673,31.445999999999913,2054712,0,BBRv3 Flow
33,0.0,1814.961,228.288,2222680,0,BBRv3 Flow
34,10.0,2042.779,227.81799999999998,2222680,0,BBRv3 Flow
35,0.0,2202.701,159.92200000000003,2222680,0,BBRv3 Flow
36,10.0,2275.469,72.76800000000003,2494904,0,BBRv3 Flow
37,0.0,2187.527,87.94200000000001,538656,0,BBRv3 Flow
38,10.0,2137.752,49.77500000000009,547344,0,BBRv3 Flow
39,0.0,2137.325,0.4270000000001346,547344,0,BBRv3 Flow
40,0.0,1772.997,364.32799999999975,2258880,0,BBRv3 Flow
41,10.0,471.032,1301.9650000000001,479288,0,BBRv3 Flow
42,10.0,900.012,428.97999999999996,479288,0,BBRv3 Flow
43,0.0,1277.068,377.05600000000004,479288,0,BBRv3 Flow
44,0.0,1580.015,302.9470000000001,532864,0,BBRv3 Flow
45,0.0,1588.602,8.586999999999989,532864,0,BBRv3 Flow
46,10.0,1681.904,93.30199999999991,102808,0,BBRv3 Flow
47,0.0,1569.515,112.3889999999999,102808,0,BBRv3 Flow
48,0.0,1516.006,53.509000000000015,102808,0,BBRv3 Flow
49,0.0,1223.97,292.03600000000006,479288,0,BBRv3 Flow
50,0.0,1519.512,295.5419999999999,479288,0,BBRv3 Flow
51,0.0,1518.436,1.0760000000000218,521280,0,BBRv3 Flow
52,10.0,1642.902,124.46600000000012,955680,0,BBRv3 Flow
53,0.0,1836.591,193.68899999999985,1126544,0,BBRv3 Flow
54,0.0,1807.684,28.906999999999925,421368,0,BBRv3 Flow
55,10.0,1872.302,64.61799999999994,421368,0,BBRv3 Flow
56,0.0,1877.519,5.217000000000098,421368,0,BBRv3 Flow
57,0.0,1577.962,299.557,1756424,0,BBRv3 Flow
58,0.0,1858.309,280.347,1756424,0,BBRv3 Flow
59,10.0,2009.853,151.5440000000001,2258880,0,BBRv3 Flow
60,0.0,2275.564,265.7109999999998,2274808,0,BBRv3 Flow
61,0.0,2301.665,26.101000000000113,2552824,0,BBRv3 Flow
62,10.0,2170.354,131.31100000000015,551688,0,BBRv3 Flow
63,10.0,2046.415,123.93899999999985,551688,0,BBRv3 Flow
64,0.0,1615.018,431.39699999999993,2274808,0,BBRv3 Flow
65,0.0,1625.389,10.370999999999867,2274808,0,BBRv3 Flow
66,0.0,1887.93,262.54100000000017,2274808,0,BBRv3 Flow
67,10.0,2103.475,215.54499999999985,2324040,0,BBRv3 Flow
68,0.0,2359.778,256.3029999999999,2324040,0,BBRv3 Flow
69,10.0,2349.644,10.134000000000015,563272,0,BBRv3 Flow
70,0.0,2039.686,309.95799999999986,563272,0,BBRv3 Flow
71,10.0,1984.431,55.25499999999988,563272,0,BBRv3 Flow
72,0.0,1594.175,390.2560000000001,2312456,0,BBRv3 Flow
73,0.0,1337.912,256.2629999999999,1954800,0,BBRv3 Flow
74,10.0,709.269,628.643,1051248,0,BBRv3 Flow
75,0.0,1049.427,340.1579999999999,955680,0,BBRv3 Flow
76,10.0,1503.506,454.0790000000002,1059936,0,BBRv3 Flow
77,0.0,1894.924,391.4179999999999,1059936,0,BBRv3 Flow
78,0.0,2031.13,136.20600000000013,1059936,0,BBRv3 Flow
79,10.0,2033.08,1.949999999999818,1059936,0,BBRv3 Flow
80,0.0,1774.977,258.10299999999984,220096,0,BBRv3 Flow
81,10.0,1710.331,64.64600000000019,220096,0,BBRv3 Flow
82,0.0,1480.83,229.50099999999998,946992,0,BBRv3 Flow
83,0.0,1494.971,14.141000000000076,946992,0,BBRv3 Flow
84,0.0,1664.975,170.0039999999999,946992,0,BBRv3 Flow
85,0.0,1899.469,234.49400000000014,1446552,0,BBRv3 Flow
86,10.0,2050.418,150.94900000000007,1834616,0,BBRv3 Flow
87,0.0,2229.006,178.58799999999974,2397888,0,BBRv3 Flow
88,10.0,2156.818,72.18799999999965,516936,0,BBRv3 Flow
89,0.0,2018.298,138.5200000000002,516936,0,BBRv3 Flow
90,10.0,2024.61,6.311999999999898,516936,0,BBRv3 Flow
91,0.0,1596.443,428.1669999999999,2137248,0,BBRv3 Flow
92,0.0,1596.443,0.0,2137248,0,BBRv3 Flow
93,0.0,1963.926,367.48299999999995,2282048,0,BBRv3 Flow
94,10.0,2188.44,224.51400000000012,2282048,0,BBRv3 Flow
95,0.0,2250.902,62.46199999999999,2282048,0,BBRv3 Flow
96,10.0,2172.03,78.87199999999984,553136,0,BBRv3 Flow
97,0.0,2084.435,87.59500000000025,553136,0,BBRv3 Flow
98,10.0,2076.127,8.307999999999993,553136,0,BBRv3 Flow
99,0.0,1702.661,373.4659999999999,2282048,0,BBRv3 Flow
100,0.0,1706.835,4.173999999999978,2282048,0,BBRv3 Flow
101,0.0,2144.019,437.18399999999974,2335624,0,BBRv3 Flow
102,10.0,2247.441,103.42200000000003,2335624,0,BBRv3 Flow
103,0.0,2307.651,60.210000000000036,2335624,0,BBRv3 Flow
104,10.0,2107.113,200.538,566168,0,BBRv3 Flow
105,0.0,2047.559,59.55399999999986,566168,0,BBRv3 Flow
106,10.0,1066.858,980.701,693592,0,BBRv3 Flow
107,0.0,804.555,262.303,686352,0,BBRv3 Flow
108,0.0,1272.138,467.58299999999997,686352,0,BBRv3 Flow
109,10.0,1578.443,306.30500000000006,686352,0,BBRv3 Flow
110,0.0,1724.427,145.98399999999992,686352,0,BBRv3 Flow
111,0.0,1695.671,28.755999999999858,765992,0,BBRv3 Flow
112,10.0,1585.078,110.59300000000007,154936,0,BBRv3 Flow
113,0.0,1613.219,28.141000000000076,154936,0,BBRv3 Flow
114,0.0,1329.399,283.82000000000016,686352,0,BBRv3 Flow
115,0.0,1353.721,24.322000000000116,686352,0,BBRv3 Flow
116,0.0,1659.629,305.9079999999999,686352,0,BBRv3 Flow
117,10.0,1672.974,13.345000000000027,910792,0,BBRv3 Flow
118,0.0,1754.322,81.34799999999996,1445104,0,BBRv3 Flow
119,0.0,1983.11,228.788,453224,0,BBRv3 Flow
