time,pacing_rate,delivery_rate,pacing_gain,inflight_data
1,9954616bps,4928312bps,1,
2,15983576bps,5063376bps,1,
3,3972136bps,4719968bps,1,
4,8477456bps,4725584bps,1,
5,5207320bps,4199376bps,1,
6,5362488bps,4781240bps,1,
7,4754448bps,5015584bps,0.90625,
8,3682992bps,4616976bps,1,
9,4625592bps,4818232bps,0.90625,
10,6487792bps,5113968bps,1.25,
11,11998104bps,4695032bps,1.25,
12,17091624bps,4161512bps,1,
13,9400936bps,5650392bps,1,
14,50975304bps,40530064bps,1.25,
15,33529552bps,8498008bps,0.90625,
16,8776848bps,4806472bps,1,
17,18555800bps,2931440bps,1,
18,5803384bps,5692376bps,1,
19,5246288bps,2214344bps,1,
20,4871696bps,5305064bps,1,
21,4972176bps,4261560bps,1,
22,5018664bps,4570704bps,1,
23,1928992bps,5076248bps,1,
24,4820432bps,3591192bps,1,
25,4992000bps,4903280bps,1,
26,22080896bps,7789776bps,1,
27,19669992bps,7763904bps,1,
28,27975192bps,2181200bps,1,
29,49635016bps,9558904bps,1,
30,8010584bps,2346912bps,1,
31,15209896bps,5003488bps,0.90625,
32,8973032bps,4974520bps,1,
33,4418496bps,4116560bps,1,
34,6849224bps,4024312bps,1,
35,5452032bps,4829680bps,1,
36,4949624bps,4052616bps,1,
37,5379576bps,2772944bps,1,
38,8158912bps,4298064bps,1,
39,4854608bps,3885616bps,1,
40,4784200bps,4201856bps,1,
41,31584536bps,11608664bps,1.25,
42,13286952bps,4599784bps,1,
43,14911080bps,5141248bps,1,
44,6898440bps,10635104bps,1,
45,6121240bps,5020960bps,1,
46,4904504bps,4891200bps,1,
47,4096544bps,5714848bps,1,
48,6404056bps,4480800bps,1.25,
49,5132816bps,2562968bps,1,
50,5004304bps,5054728bps,1,
51,5299600bps,3516080bps,1,
52,4206600bps,4560984bps,1,
53,5341984bps,4978432bps,1,
54,7132048bps,4639432bps,1.25,
55,4821800bps,6579320bps,1,
56,18443008bps,22669272bps,1,
57,29048544bps,4014552bps,1.25,
58,13825592bps,4538944bps,1,
59,19608472bps,31248984bps,1,
60,38724104bps,5102936bps,1,
61,5503304bps,7331640bps,1,
62,4719264bps,3650896bps,1,
63,6097312bps,4624344bps,1.25,
64,6351448bps,5570232bps,0.90625,
65,5254488bps,2498704bps,1,
66,5267472bps,4890168bps,1,
67,6220352bps,4883296bps,1.25,
68,6686536bps,4913888bps,1,
69,6797104bps,5189376bps,1.25,
70,10437208bps,5400776bps,1,
71,13725112bps,1575856bps,1,
72,8595024bps,4816344bps,1,
73,3406840bps,5118112bps,1,
74,42178112bps,13214312bps,1,
75,46270856bps,5634064bps,0.90625,
76,5445880bps,9483416bps,1,
77,11863104bps,4852608bps,1,
78,6322032bps,4902656bps,1.25,
79,6612032bps,6678576bps,1,
80,7516056bps,5241624bps,0.90625,
81,6324256bps,3937792bps,1,
82,2906472bps,4057720bps,1,
83,4807440bps,6215008bps,1,
84,5352240bps,3815856bps,0.90625,
85,50488776bps,5206088bps,1,
86,68030184bps,7088056bps,1,
87,16626800bps,4849392bps,1,
88,29445520bps,4793880bps,1,
89,8951840bps,4580880bps,1,
90,14896720bps,4599376bps,1,
91,13887328bps,5120480bps,0.90625,
92,4922280bps,4351608bps,1,
93,6872296bps,4963152bps,1.25,
94,7995888bps,6460680bps,1.25,
95,8724896bps,4591808bps,1,
96,4614680bps,2528888bps,1,
97,3489544bps,4405232bps,1,
98,6086376bps,1373440bps,1,
99,5424096bps,4956512bps,0.90625,
100,6426784bps,9547904bps,1,
101,18421816bps,5041216bps,1,
102,36972152bps,5089424bps,1,
103,69868776bps,6359752bps,1.25,
104,10208216bps,18751920bps,1,
105,42999744bps,7068928bps,1,
106,42466568bps,3410768bps,1,
107,5852600bps,4112536bps,1,
108,4998152bps,4547024bps,1,
109,6231288bps,5117056bps,1,
110,4819744bps,4035528bps,1,
111,4846408bps,560216bps,1,
112,4899720bps,374408bps,1,
113,4495744bps,574240bps,1,
114,11366160bps,3960336bps,1,
115,55877936bps,43326752bps,1,
